attack_type,attack_params,defense_type,total_loss
uap,"{'attack_type': 'uap', 'epsilon': 8.6, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327
ccp,"{'attack_type': 'ccp', 'epsilon': 0.1, 'num_pixels': None, 'channel': 'B'}",resize_1280x720,0.6415339509646097
uap,"{'attack_type': 'uap', 'epsilon': 0.6, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226
uap,"{'attack_type': 'uap', 'epsilon': 6.1, 'num_pixels': None, 'channel': None}",compress_50,0.672687292098999
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 110, 'channel': None}",bitdepth_4,0.678429921468099
ccp,"{'attack_type': 'ccp', 'epsilon': 5.0, 'num_pixels': None, 'channel': 'B'}",compress_75,0.6271315614382426
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.75, 'num_pixels': None, 'channel': None}",blur_5x5_default,0.6883260607719421
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",blur_9x9_replicate,0.668105959892273
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 60, 'channel': None}",noise_0.3,0.6758752663930258
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327
