attack_type,attack_params,defense_type,total_loss,da_seg_acc,da_seg_iou,da_seg_miou,ll_seg_acc,ll_seg_iou,ll_seg_miou,p,r,map50,map,t_inf,t_nms,epsilon
uap,"{'attack_type': 'uap', 'epsilon': 8.6, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327,0.8404090108989197,0.0,0.42020450544945986,0.0,0.0,0.4961767276716821,0.0048525569242254575,0.019345238095238096,0.00011814854751716684,2.622277264216756e-05,0.5115942160288492,0.0005211929480234782,8.6
uap,"{'attack_type': 'uap', 'epsilon': 0.6, 'num_pixels': None, 'channel': None}",compress_90,0.6619706948598226,0.812099307966821,0.06526467789508171,0.43741000860380996,0.0007202159566325822,0.0006973372568178051,0.49528620499282255,0.009747041076815966,0.058577405857740586,0.0043615752008887175,0.0019472891078176357,0.49577240149180096,0.0006096909443537394,0.6
uap,"{'attack_type': 'uap', 'epsilon': 6.1, 'num_pixels': None, 'channel': None}",compress_50,0.672687292098999,0.8443681278935186,0.0018839826975401985,0.4231026327617491,0.0,0.0,0.4959076304494599,0.002527379949452401,0.012430939226519336,0.0007450786319146595,0.00031568239304959853,0.4516876886288325,0.0002970049778620402,6.1
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 110, 'channel': None}",bitdepth_4,0.678429921468099,0.8297080560378087,0.030207718262919472,0.4295087402975206,0.0019553789429228095,0.0017017504393239773,0.4965236845309929,0.012312513991493173,0.06962025316455696,0.005844401724573312,0.002360337201901582,0.49266737699508667,0.002029354373613993,0.1
fgsm,"{'attack_type': 'fgsm', 'epsilon': 0.75, 'num_pixels': None, 'channel': None}",blur_5x5_default,0.6883260607719421,0.8255151668595678,0.0,0.4127575834297839,0.0,0.0,0.49495662736304014,0.0023894862604540022,0.0024479804161566705,3.322259136212625e-05,8.039240268288096e-06,0.5017929126818975,0.0006285160779953003,0.75
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 610, 'channel': None}",blur_9x9_replicate,0.668105959892273,0.8447061873070987,0.10314298790208802,0.4725262977466087,0.005931644914914695,0.004423298604412002,0.4973326492848346,0.014492753623188406,0.11612903225806452,0.019357016790397252,0.010314441738232684,0.49612375100453693,0.0006294399499893188,0.1
jsma,"{'attack_type': 'jsma', 'epsilon': 9.1, 'num_pixels': 60, 'channel': None}",noise_0.3,0.6758752663930258,0.8319374517746914,0.04487307850731937,0.4376851613099703,0.0014343823592378507,0.0013097704969308361,0.49668187779162604,0.004483122362869198,0.02533532041728763,0.001130320271722444,0.0010345493762412158,0.47643228868643445,0.00044339895248413086,9.1
uap,"{'attack_type': 'uap', 'epsilon': 1.1, 'num_pixels': None, 'channel': None}",blur_7x7_reflect,0.6573571960131327,0.8404090108989197,0.0,0.42020450544945986,0.0,0.0,0.4961767276716821,0.0048525569242254575,0.019345238095238096,0.00011814854751716684,2.622277264216756e-05,0.5401984403530756,0.0008146564165751139,1.1
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 160, 'channel': None}",bitdepth_4,0.678429921468099,0.8297080560378087,0.030207718262919472,0.4295087402975206,0.0019553789429228095,0.0017017504393239773,0.4965236845309929,0.012312513991493173,0.06962025316455696,0.005844401724573312,0.002360337201901582,0.4852901448806127,0.0013438115517298381,0.1
jsma,"{'attack_type': 'jsma', 'epsilon': 0.1, 'num_pixels': 60, 'channel': None}",blur_9x9_replicate,0.668105959892273,0.8447061873070987,0.10314298790208802,0.4725262977466087,0.005931644914914695,0.004423298604412002,0.4973326492848346,0.014492753623188406,0.11612903225806452,0.019357016790397252,0.010314441738232684,0.5260053525368372,0.0005414634943008423,0.1
